run,max_depth,max_features,min_samples_leaf,n_estimators,validation_roc_auc,validation_pr_auc,training_seconds
2,10,sqrt,50,200,0.5921885672452883,0.2165918347512929,45.299825125024654
3,10,sqrt,100,200,0.5907915986550831,0.21599251123662308,48.36045325000305
1,10,sqrt,25,200,0.5875637351558745,0.21553491188166254,42.28403449989855
8,14,sqrt,50,200,0.5823474920883521,0.21318634107954718,57.14400420896709
7,14,sqrt,25,200,0.5771375634525852,0.21129444957034244,67.9821423329413
9,14,sqrt,100,200,0.5823267167170769,0.20969010376329217,69.26175112498458
15,18,sqrt,100,200,0.5787070762626983,0.2087396928929703,80.762676167069
14,18,sqrt,50,200,0.5717899630718095,0.2075289997354512,80.6933533330448
13,18,sqrt,25,200,0.5723654130986995,0.20742962737666154,83.00769195798784
10,14,0.5,25,200,0.5619571485697445,0.20500609768115546,189.1356831670273
16,18,0.5,25,200,0.5566725515414649,0.20228630819685753,182.71322904189583
17,18,0.5,50,200,0.5599700815009916,0.2019233798393122,201.8999127499992
5,10,0.5,50,200,0.5657076000283843,0.20136664645278674,136.1545967500424
4,10,0.5,25,200,0.5634661975762918,0.20110180593689927,115.80061566701625
11,14,0.5,50,200,0.5590572557147186,0.20058821746556554,184.52005429100245
12,14,0.5,100,200,0.558438454854373,0.200296671879614,167.8745593340136
6,10,0.5,100,200,0.5661733059180424,0.19997034574033035,131.71541716705542
18,18,0.5,100,200,0.5578294624033828,0.19944848976319324,190.43753995897714
